date,trends
2020-01-12,35
2020-01-13,50
2020-01-14,31
2020-01-15,38
2020-01-16,47
2020-01-17,58
2020-01-18,48
2020-01-19,51
2020-01-20,49
2020-01-21,56
2020-01-22,41
2020-01-23,46
2020-01-24,47
2020-01-25,39
2020-01-26,68
2020-01-27,59
2020-01-28,47
2020-01-29,50
2020-01-30,29
2020-01-31,42
2020-02-01,32
2020-02-02,56
2020-02-03,50
2020-02-04,29
2020-02-05,45
2020-02-06,38
2020-02-07,43
2020-02-08,51
2020-02-09,52
2020-02-10,54
2020-02-11,46
2020-02-12,27
2020-02-13,45
2020-02-14,38
2020-02-15,51
2020-02-16,38
2020-02-17,51
2020-02-18,56
2020-02-19,50
2020-02-20,51
2020-02-21,42
2020-02-22,31
2020-02-23,38
2020-02-24,40
2020-02-25,46
2020-02-26,47
2020-02-27,51
2020-02-28,36
2020-02-29,38
2020-03-01,47
2020-03-02,64
2020-03-03,51
2020-03-04,50
2020-03-05,43
2020-03-06,42
2020-03-07,53
2020-03-08,38
2020-03-09,36
2020-03-10,36
2020-03-11,42
2020-03-12,28
2020-03-13,46
2020-03-14,34
2020-03-15,13
2020-03-16,46
2020-03-17,34
2020-03-18,58
2020-03-19,33
2020-03-20,43
2020-03-21,60
2020-03-22,49
2020-03-23,69
2020-03-24,47
2020-03-25,72
2020-03-26,58
2020-03-27,45
2020-03-28,53
2020-03-29,66
2020-03-30,81
2020-03-31,44
2020-04-01,56
2020-04-02,46
2020-04-03,59
2020-04-04,43
2020-04-05,58
2020-04-06,77
2020-04-07,35
2020-04-08,56
2020-04-09,54
2020-04-10,60
2020-04-11,52
2020-04-12,62
2020-04-13,62
2020-04-14,51
2020-04-15,51
2020-04-16,51
2020-04-17,71
2020-04-18,73
2020-04-19,94
2020-04-20,62
2020-04-21,50
2020-04-22,50
2020-04-23,74
2020-04-24,56
2020-04-25,48
2020-04-26,62
2020-04-27,56
2020-04-28,42
2020-04-29,49
2020-04-30,42
2020-05-01,63
2020-05-02,75
2020-05-03,71
2020-05-04,60
2020-05-05,62
2020-05-06,53
2020-05-07,62
2020-05-08,54
2020-05-09,55
2020-05-10,61
2020-05-11,68
2020-05-12,67
2020-05-13,64
2020-05-14,53
2020-05-15,54
2020-05-16,39
2020-05-17,82
2020-05-18,64
2020-05-19,50
2020-05-20,55
2020-05-21,91
2020-05-22,52
2020-05-23,50
2020-05-24,70
2020-05-25,62
2020-05-26,56
2020-05-27,63
2020-05-28,65
2020-05-29,59
2020-05-30,89
2020-05-31,97
2020-06-01,75
2020-06-02,64
2020-06-03,86
2020-06-04,71
2020-06-05,79
2020-06-06,62
2020-06-07,83
2020-06-08,72
2020-06-09,71
2020-06-10,76
2020-06-11,72
2020-06-12,67
2020-06-13,86
2020-06-14,57
2020-06-15,52
2020-06-16,62
2020-06-17,56
2020-06-18,76
2020-06-19,52
2020-06-20,35
2020-06-21,100
2020-06-22,61
2020-06-23,58
2020-06-24,87
2020-06-25,78
2020-06-26,62
2020-06-27,71
2020-06-28,71
2020-06-29,70
2020-06-30,74
2020-07-01,76
2020-07-02,84
2020-07-03,60
2020-07-04,52
2020-07-05,77
2020-07-06,72
2020-07-07,43
2020-07-08,54
2020-07-09,66
2020-07-10,86
2020-07-11,62
2020-07-12,44
