date,trends
2020-01-12,62
2020-01-13,96
2020-01-14,99
2020-01-15,100
2020-01-16,89
2020-01-17,87
2020-01-18,57
2020-01-19,42
2020-01-20,94
2020-01-21,87
2020-01-22,84
2020-01-23,92
2020-01-24,78
2020-01-25,53
2020-01-26,51
2020-01-27,74
2020-01-28,79
2020-01-29,79
2020-01-30,75
2020-01-31,73
2020-02-01,56
2020-02-02,49
2020-02-03,79
2020-02-04,87
2020-02-05,74
2020-02-06,92
2020-02-07,79
2020-02-08,57
2020-02-09,51
2020-02-10,81
2020-02-11,70
2020-02-12,73
2020-02-13,74
2020-02-14,79
2020-02-15,52
2020-02-16,50
2020-02-17,94
2020-02-18,83
2020-02-19,73
2020-02-20,79
2020-02-21,84
2020-02-22,50
2020-02-23,46
2020-02-24,82
2020-02-25,73
2020-02-26,76
2020-02-27,75
2020-02-28,90
2020-02-29,57
2020-03-01,50
2020-03-02,73
2020-03-03,72
2020-03-04,77
2020-03-05,74
2020-03-06,66
2020-03-07,50
2020-03-08,47
2020-03-09,64
2020-03-10,66
2020-03-11,78
2020-03-12,66
2020-03-13,65
2020-03-14,51
2020-03-15,49
2020-03-16,72
2020-03-17,72
2020-03-18,59
2020-03-19,51
2020-03-20,41
2020-03-21,39
2020-03-22,47
2020-03-23,43
2020-03-24,52
2020-03-25,50
2020-03-26,47
2020-03-27,46
2020-03-28,35
2020-03-29,39
2020-03-30,42
2020-03-31,43
2020-04-01,46
2020-04-02,46
2020-04-03,45
2020-04-04,40
2020-04-05,37
2020-04-06,56
2020-04-07,54
2020-04-08,49
2020-04-09,48
2020-04-10,42
2020-04-11,45
2020-04-12,45
2020-04-13,51
2020-04-14,49
2020-04-15,46
2020-04-16,52
2020-04-17,52
2020-04-18,44
2020-04-19,58
2020-04-20,50
2020-04-21,48
2020-04-22,47
2020-04-23,52
2020-04-24,48
2020-04-25,46
2020-04-26,45
2020-04-27,50
2020-04-28,50
2020-04-29,48
2020-04-30,43
2020-05-01,52
2020-05-02,44
2020-05-03,48
2020-05-04,46
2020-05-05,54
2020-05-06,52
2020-05-07,53
2020-05-08,50
2020-05-09,51
2020-05-10,41
2020-05-11,56
2020-05-12,56
2020-05-13,56
2020-05-14,50
2020-05-15,60
2020-05-16,44
2020-05-17,50
2020-05-18,46
2020-05-19,51
2020-05-20,55
2020-05-21,62
2020-05-22,50
2020-05-23,50
2020-05-24,47
2020-05-25,47
2020-05-26,62
2020-05-27,51
2020-05-28,61
2020-05-29,65
2020-05-30,54
2020-05-31,58
2020-06-01,66
2020-06-02,65
2020-06-03,63
2020-06-04,58
2020-06-05,55
2020-06-06,44
2020-06-07,52
2020-06-08,60
2020-06-09,62
2020-06-10,64
2020-06-11,63
2020-06-12,57
2020-06-13,55
2020-06-14,44
2020-06-15,49
2020-06-16,55
2020-06-17,59
2020-06-18,57
2020-06-19,51
2020-06-20,39
2020-06-21,37
2020-06-22,50
2020-06-23,67
2020-06-24,71
2020-06-25,75
2020-06-26,64
2020-06-27,56
2020-06-28,53
2020-06-29,57
2020-06-30,69
2020-07-01,81
2020-07-02,74
2020-07-03,58
2020-07-04,48
2020-07-05,41
2020-07-06,54
2020-07-07,61
2020-07-08,55
2020-07-09,61
2020-07-10,51
2020-07-11,40
2020-07-12,36
2020-07-13,42
2020-07-14,40
2020-07-15,34
2020-07-16,36
2020-07-17,39
2020-07-18,38
2020-07-19,33
2020-07-20,34
2020-07-21,41
2020-07-22,46
2020-07-23,40
2020-07-24,40
2020-07-25,28
2020-07-26,36
2020-07-27,43
2020-07-28,39
2020-07-29,41
2020-07-30,39
