date,trends
2020-01-12,29
2020-01-12,34
2020-01-13,25
2020-01-14,43
2020-01-15,41
2020-01-16,41
2020-01-17,30
2020-01-18,31
2020-01-19,40
2020-01-19,68
2020-01-20,43
2020-01-21,36
2020-01-22,0
2020-01-23,69
2020-01-24,53
2020-01-25,26
2020-01-26,35
2020-01-26,38
2020-01-27,85
2020-01-28,32
2020-01-29,46
2020-01-30,47
2020-01-31,0
2020-02-01,93
2020-02-02,26
2020-02-02,40
2020-02-03,40
2020-02-04,22
2020-02-05,60
2020-02-06,36
2020-02-07,34
2020-02-08,58
2020-02-09,0
2020-02-09,40
2020-02-10,89
2020-02-11,38
2020-02-12,16
2020-02-13,52
2020-02-14,17
2020-02-15,84
2020-02-16,36
2020-02-16,31
2020-02-17,39
2020-02-18,45
2020-02-19,24
2020-02-20,45
2020-02-21,30
2020-02-22,36
2020-02-23,34
2020-02-23,35
2020-02-24,26
2020-02-25,20
2020-02-26,35
2020-02-27,42
2020-02-28,15
2020-02-29,27
2020-03-01,45
2020-03-01,93
2020-03-02,41
2020-03-03,32
2020-03-04,41
2020-03-05,37
2020-03-06,39
2020-03-07,70
2020-03-08,30
2020-03-08,28
2020-03-09,32
2020-03-10,45
2020-03-11,43
2020-03-12,20
2020-03-13,24
2020-03-14,47
2020-03-15,33
2020-03-15,23
2020-03-16,50
2020-03-17,46
2020-03-18,65
2020-03-19,39
2020-03-20,40
2020-03-21,73
2020-03-22,27
2020-03-22,43
2020-03-23,26
2020-03-24,34
2020-03-25,74
2020-03-26,55
2020-03-27,31
2020-03-28,23
2020-03-29,26
2020-03-29,38
2020-03-30,57
2020-03-31,48
2020-04-01,43
2020-04-02,0
2020-04-03,24
2020-04-04,27
2020-04-05,41
2020-04-05,27
2020-04-06,67
2020-04-07,14
2020-04-08,22
2020-04-09,55
2020-04-10,26
2020-04-11,45
2020-04-12,24
2020-04-12,43
2020-04-13,46
2020-04-14,43
2020-04-15,47
2020-04-16,43
2020-04-17,59
2020-04-18,42
2020-04-19,37
2020-04-19,40
2020-04-20,32
2020-04-21,46
2020-04-22,48
2020-04-23,71
2020-04-24,42
2020-04-25,34
2020-04-26,38
2020-04-26,49
2020-04-27,37
2020-04-28,10
2020-04-29,41
2020-04-30,21
2020-05-01,39
2020-05-02,70
2020-05-03,56
2020-05-03,49
2020-05-04,42
2020-05-05,44
2020-05-06,71
2020-05-07,73
2020-05-08,41
2020-05-09,43
2020-05-10,37
2020-05-10,25
2020-05-11,35
2020-05-12,60
2020-05-13,38
2020-05-14,36
2020-05-15,30
2020-05-16,22
2020-05-17,82
2020-05-17,40
2020-05-18,0
2020-05-19,38
2020-05-20,32
2020-05-21,54
2020-05-22,20
2020-05-23,51
2020-05-24,49
2020-05-24,44
2020-05-25,40
2020-05-26,58
2020-05-27,48
2020-05-28,54
2020-05-29,22
2020-05-30,60
2020-05-31,61
2020-05-31,52
2020-06-01,60
2020-06-02,31
2020-06-03,59
2020-06-04,46
2020-06-05,69
2020-06-06,52
2020-06-07,45
2020-06-07,52
2020-06-08,70
2020-06-09,42
2020-06-10,33
2020-06-11,34
2020-06-12,44
2020-06-13,84
2020-06-14,42
2020-06-14,73
2020-06-15,38
2020-06-16,35
2020-06-17,100
2020-06-18,51
2020-06-19,23
2020-06-20,45
2020-06-21,36
2020-06-21,63
2020-06-22,45
2020-06-23,30
2020-06-24,56
2020-06-25,72
2020-06-26,65
2020-06-27,71
2020-06-28,0
2020-06-28,51
2020-06-29,62
2020-06-30,79
2020-07-01,70
2020-07-02,57
2020-07-03,47
2020-07-04,45
2020-07-05,41
2020-07-05,60
2020-07-06,43
2020-07-07,37
2020-07-08,78
2020-07-09,76
2020-07-10,74
2020-07-11,73
2020-07-12,52
2020-07-12,44
2020-07-13,36
2020-07-14,0
2020-07-15,21
2020-07-16,25
2020-07-17,28
2020-07-18,23
2020-07-19,0
2020-07-19,63
2020-07-20,27
2020-07-21,26
2020-07-22,37
2020-07-23,43
2020-07-24,37
2020-07-25,47
2020-07-26,56
2020-07-26,33
2020-07-27,35
2020-07-28,34
2020-07-29,33
2020-07-30,27
