date,trends
2020-01-12,39
2020-01-19,41
2020-01-26,41
2020-02-02,37
2020-02-09,40
2020-02-16,42
2020-02-23,37
2020-03-01,43
2020-03-08,33
2020-03-15,38
2020-03-22,50
2020-03-29,45
2020-04-05,50
2020-04-12,50
2020-04-19,52
2020-04-26,44
2020-05-03,53
2020-05-10,50
2020-05-17,53
2020-05-24,56
2020-05-31,67
2020-06-07,64
2020-06-14,47
2020-06-21,62
2020-06-28,60
2020-07-05,57
2020-07-12,57
2020-07-19,61
2020-07-26,58
2020-08-02,51
2020-08-09,54
2020-08-16,61
2020-08-23,51
2020-08-30,54
2020-09-06,100
2020-09-13,77
2020-09-20,66
2020-09-27,69
2020-10-04,57
2020-10-11,55
2020-10-18,63
2020-10-25,54
2020-11-01,50
2020-11-08,55
2020-11-15,49
2020-11-22,54
2020-11-29,60
2020-12-06,60
2020-12-13,60
2020-12-20,59
2020-12-27,50
2021-01-03,54
2021-01-10,61
2021-01-17,60
2021-01-24,52
2021-01-31,57
2021-02-07,66
2021-02-14,59
2021-02-21,58
2021-02-28,60
2021-03-07,91
2021-03-14,63
2021-03-21,45
2021-03-28,66
2021-04-04,59
2021-04-11,57
2021-04-18,63
2021-04-25,67
2021-05-02,96
2021-05-09,66
2021-05-16,80
2021-05-23,74
2021-05-30,66
2021-06-06,67
2021-06-13,58
2021-06-20,56
2021-06-27,60
2021-07-04,57
2021-07-11,58
2021-07-18,81
2021-07-25,69
2021-08-01,55
2021-08-08,82
2021-08-15,64
2021-08-22,55
2021-08-29,58
2021-09-05,61
2021-09-12,57
2021-09-19,62
2021-09-26,56
2021-10-03,61
2021-10-10,58
2021-10-17,52
2021-10-24,60
2021-10-31,63
2021-11-07,57
2021-11-14,58
2021-11-21,60
2021-11-28,60
2021-12-05,56
2021-12-12,56
2021-12-19,55
2021-12-26,48
2022-01-02,66
2022-01-09,76
2022-01-16,61
2022-01-23,70
2022-01-30,58
2022-02-06,58
2022-02-13,60
2022-02-20,60
2022-02-27,52
2022-03-06,66
2022-03-13,59
2022-03-20,61
2022-03-27,61
2022-04-03,53
2022-04-10,59
2022-04-17,57
2022-04-24,56
2022-05-01,58
2022-05-08,60
2022-05-15,61
2022-05-22,57
2022-05-29,62
2022-06-05,59
2022-06-12,66
2022-06-19,72
2022-06-26,76
2022-07-03,62
2022-07-10,64
2022-07-17,70
2022-07-24,67
2022-07-31,66
2022-08-07,64
2022-08-14,64
2022-08-21,71
2022-08-28,60
2022-09-04,55
2022-09-11,58
2022-09-18,59
2022-09-25,70
2022-10-02,65
2022-10-09,67
2022-10-16,68
2022-10-23,61
2022-10-30,63
2022-11-06,56
2022-11-13,73
2022-11-20,67
2022-11-27,62
2022-12-04,64
2022-12-11,59
2022-12-18,67
2022-12-25,50
2023-01-01,62
2023-01-08,61
2023-01-15,76
2023-01-22,63
2023-01-29,60
2023-02-05,56
2023-02-12,58
2023-02-19,64
2023-02-26,57
2023-03-05,56
2023-03-12,58
2023-03-19,60
2023-03-26,72
2023-04-02,51
2023-04-09,64
2023-04-16,61
2023-04-23,59
2023-04-30,68
2023-05-07,59
2023-05-14,65
2023-05-21,55
2023-05-28,59
2023-06-04,64
2023-06-11,68
2023-06-18,67
2023-06-25,63
2023-07-02,65
2023-07-09,75
2023-07-16,59
2023-07-23,60
2023-07-30,65
2023-08-06,60
2023-08-13,57
2023-08-20,53
2023-08-27,62
